quotes,
What we call reality is in fact nothing more than a culturally sanctioned and linguistically reinforced hallucination.,
Notice that the whole story of Eden is the story of the struggle over a woman's relationship to a psychoactive plant.,
"Nature loves courage. You make the commitment and nature will respond to that commitment by removing impossible obstacles. Dream the impossible dream and the world will not grind you under, it will lift you up. This is the trick. This is what all these teachers and philosophers who really counted, who really touched the alchemical gold, this is what they understood. This is the shamanic dance in the waterfall. This is how magic is done. By hurling yourself into the abyss and discovering its a feather bed.",
"You are a divine being. You matter, you count. You come from realms of unimaginable power and light, and you will return to those realms.",
Psychedelics are illegal not because a loving government is concerned that you may jump out of a third story window. Psychedelics are illegal because they dissolve opinion structures and culturally laid down models of behaviour and information processing. They open you up to the possibility that everything you know is wrong.,
"Knowledge, or verbal facility, is no proof that you know what you're talking about.",
The Imagination is the golden pathway to everywhere.,
"This is the message of your life and my life - it’s that nothing lasts. Heraclitus said it: Panta Rhei. All flows, nothing lasts. Not your enemies, not your fortune, not who you sleep with at night, not the books, not the house in Saint-Tropez, not even the children - nothing lasts. To the degree that you avert your gaze from this truth, you build the potential for pain into your life. Everything is this act of embracing the present moment, the felt presence of experience, and then moving on to the next felt moment of experience. It’s literally psychological nomadism is what it is.",
The most beautiful things in the universe are inside the human mind.,
"Capitalism is going to deal itself out of existence, but before it does that, you're gonna pay $50 for a latte, because inflation is going impoverish all of us before people get pissed off enough to realize that all of the last hundred years of economic progress was actually a shell game to create billionaires, while the great masses of people saw their standard of living eroded and destroyed.",
"Every click of the cosmic clock 
 brings us closer to the process 
 for which the planet called us into existence.",
"If you don't have a plan, you become part of somebody else's plan.",
"The real secret of magic is that the world is made of words, and that if you know the words that the world is made of you can make of it whatever you wish.",
"We are told No, you're unimportant, you're peripheral - get a degree, get a job, get a this, get that, and then you're a player. You don't even want to play that game. You want to reclaim your mind and get it out of the hands of the cultural engineers who want to turn you into a half-baked moron consuming all this trash that's being manufactured out of the bones of a dying world.",
"The cost of sanity in this society, is a certain level﻿ of alienation",
There is no liberation to compare with freeing oneself from the illusions and delusions of the age in which one lives.,
Our ability to destroy ourselves is the mirror image of our ability to save ourselves.,
"For all we know, we know nothing.",
The drugs of the future will be computers. The computers of the future will be drugs.,
"The major adventure is to claim your authentic, true being, which is not culturally given to you. The culture will not explain to you how to be a real human being. It will tell you how to be banker, politician, Indian chief, masseuses, actress, whatever, but it will not give you true being.",
Culture is a plot against the expansion of consciousness.,
I don't believe consciousness is generated in the brain any more than television programs are made inside my TV. The box is too small.,
Astonishment is the proper response to reality.,
Behind us: the unknown. Before us: the secret.,
"What we call imagination is actually the universal library of what's real. You couldn’t imagine it if it weren’t real somewhere, sometime.",
Science does not deal with subjective experience... Well that's too bad because that is all any of us ever have.,
"We are led by the least among us - the least intelligent, the least noble, the least visionary. We are led by the least among us and we do not fight back against the dehumanizing values that are handed down as control icons.",
"You are not naked when you take off your clothes. You still wear your religious assumptions, your prejudices, your fears, your illusions, your delusions. When you shed the cultural operating system, then essentially you stand naked before the inspection of your own psyche.",
"My technique is don’t believe anything. If you believe in something, you are automatically precluded from believing its opposite.",
"What civilization is, is 6 billion people trying to make themselves happy by standing on each other's shoulders and kicking each other's teeth in. It's not a pleasant situation.",
We don't have to look far for miracles because they're all around us. Everything is astonishing. The universe on it's surface is alive with mystery.,
"Nothing comes unannounced, but many can miss the announcement. So it's very important to actually listen to your own intuition rather than driving through it.",
We do not birth our children into the world of nature. We birth our children into the world of culture.,
"The world which we perceive is a tiny fraction of the world which we can perceive, which is a tiny fraction of the perceivable world.",
